"C:\Program Files\Java\jdk-11.0.12\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.3\lib\idea_rt.jar=58672:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.3\bin" -Dfile.encoding=UTF-8 -classpath "C:\Users\fabri\Documents\USP\Git projetos\Multilayer-Perpectron\out\production\MultilayerPerceptron" Main
Acertos para rede neural 63-92-7: [0,1] 7/21	[0,2] 10/21	[0,3] 9/21	[0,4] 8/21	[0,5] 1/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 4/21	[1,0] 0/21	Melhor taxa: 0,2
Acertos para rede neural 63-93-7: [0,1] 7/21	[0,2] 7/21	[0,3] 9/21	[0,4] 14/21	[0,5] 2/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-94-7: [0,1] 4/21	[0,2] 8/21	[0,3] 12/21	[0,4] 10/21	[0,5] 2/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,3
Acertos para rede neural 63-95-7: [0,1] 4/21	[0,2] 10/21	[0,3] 10/21	[0,4] 11/21	[0,5] 0/21	[0,6] 1/21	[0,7] 0/21	[0,8] 0/21	[0,9] 1/21	[1,0] 1/21	Melhor taxa: 0,4
Acertos para rede neural 63-96-7: [0,1] 8/21	[0,2] 9/21	[0,3] 9/21	[0,4] 9/21	[0,5] 0/21	[0,6] 0/21	[0,7] 0/21	[0,8] 1/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,2
Acertos para rede neural 63-97-7: [0,1] 8/21	[0,2] 10/21	[0,3] 6/21	[0,4] 11/21	[0,5] 1/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-98-7: [0,1] 10/21	[0,2] 10/21	[0,3] 8/21	[0,4] 12/21	[0,5] 1/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-99-7: [0,1] 6/21	[0,2] 10/21	[0,3] 11/21	[0,4] 9/21	[0,5] 1/21	[0,6] 1/21	[0,7] 0/21	[0,8] 1/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,3
Acertos para rede neural 63-100-7: [0,1] 3/21	[0,2] 9/21	[0,3] 11/21	[0,4] 11/21	[0,5] 0/21	[0,6] 1/21	[0,7] 4/21	[0,8] 1/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,3
Contador de melhor taxa: 0,1:3	0,2:15	0,3:17	0,4:22	0,5:27	0,6:8	0,7:2	0,8:3	0,9:2	1,0:1	

Process finished with exit code 0
